time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.005000,nan,0.001569,0.000000
0.010000,0.169616,0.035458,0.000003
0.015000,nan,0.038722,0.000003
0.020000,-0.175517,0.000833,-0.000001
0.025000,nan,0.003769,-0.000012
0.030000,-0.000679,0.002343,-0.000025
0.035000,nan,0.001106,-0.000038
0.040000,0.021181,0.003262,-0.000049
0.045000,nan,0.003889,-0.000061
0.050000,0.017046,0.006563,-0.000069
0.055000,nan,0.005287,-0.000070
0.060000,-0.127875,-0.012435,-0.000063
0.065000,nan,-0.012694,-0.000048
0.070000,0.030584,-0.007265,-0.000023
0.075000,nan,-0.007626,0.000013
0.080000,0.147530,0.009507,0.000055
0.085000,nan,0.012163,0.000096
0.090000,0.147428,0.028468,0.000133
0.095000,nan,0.030632,0.000167
0.100000,0.084088,0.036102,0.000201
0.105000,nan,0.034326,0.000235
0.110000,-0.057428,0.025615,0.000273
0.115000,nan,0.024172,0.000313
0.120000,-0.058331,0.018143,0.000358
0.125000,nan,0.017476,0.000409
0.130000,0.051063,0.021799,0.000465
0.135000,nan,0.023088,0.000529
0.140000,0.103565,0.028507,0.000597
0.145000,nan,0.027373,0.000663
0.150000,0.022729,0.028804,0.000727
0.155000,nan,0.030603,0.000785
0.160000,-0.116029,0.017352,0.000837
0.165000,nan,0.016780,0.000885
0.170000,0.059674,0.021812,0.000929
0.175000,nan,0.019331,0.000970
0.180000,0.106730,0.029245,0.001009
0.185000,nan,0.028987,0.001049
0.190000,0.013953,0.027763,0.001090
0.195000,nan,0.024147,0.001134
0.200000,-0.080424,0.015153,0.001179
0.205000,nan,0.016059,0.001229
0.210000,-0.103019,0.005873,0.001281
0.215000,nan,0.007860,0.001335
0.220000,-0.043438,0.000849,0.001392
0.225000,nan,0.001774,0.001453
0.230000,0.067972,0.007514,0.001517
0.235000,nan,0.007913,0.001584
0.240000,-0.146025,-0.002614,0.001651
0.245000,nan,0.000476,0.001718
0.250000,0.046357,0.003563,0.001780
0.255000,nan,0.002997,0.001838
0.260000,0.205167,0.017262,0.001894
0.265000,nan,0.020787,0.001948
0.270000,-0.024378,0.018942,0.001997
0.275000,nan,0.017762,0.002044
0.280000,-0.074474,0.008627,0.002089
0.285000,nan,0.005686,0.002132
0.290000,-0.020681,0.001862,0.002175
0.295000,nan,-0.000192,0.002217
0.300000,-0.034970,-0.004813,0.002256
0.305000,nan,-0.004880,0.002293
0.310000,-0.125546,-0.014213,0.002329
0.314999,nan,-0.013969,0.002363
0.319999,0.148395,-0.000741,0.002397
0.324999,nan,0.000554,0.002431
0.329999,0.076060,0.007652,0.002464
0.334999,nan,0.008380,0.002497
0.339999,0.052618,0.011699,0.002532
0.344999,nan,0.012661,0.002568
0.349999,0.004796,0.012752,0.002602
0.354999,nan,0.014500,0.002632
0.359999,-0.060398,0.009512,0.002661
0.364999,nan,0.009637,0.002691
0.369999,-0.048012,0.005337,0.002720
0.374999,nan,0.003823,0.002748
0.379999,0.204211,0.018802,0.002778
0.384999,nan,0.022902,0.002809
0.389999,0.021110,0.022894,0.002839
0.394998,nan,0.022450,0.002867
0.399998,0.078685,0.026517,0.002894
0.404998,nan,0.027434,0.002918
0.409998,-0.045022,0.023267,0.002938
0.414998,nan,0.024489,0.002949
0.419998,-0.008333,0.021944,0.002954
0.424998,nan,0.023254,0.002952
0.429998,-0.263754,-0.001934,0.002944
0.434998,nan,0.001326,0.002935
0.439998,0.015726,0.002532,0.002926
0.444998,nan,0.003789,0.002920
0.449998,-0.145648,-0.007805,0.002917
0.454998,nan,-0.011601,0.002915
0.459998,0.035835,-0.009993,0.002910
0.464998,nan,-0.009503,0.002900
0.469997,0.223647,0.007501,0.002885
0.474997,nan,0.006328,0.002868
0.479997,-0.309434,-0.018809,0.002855
0.484997,nan,-0.019880,0.002850
0.489997,0.076906,-0.010843,0.002849
0.494997,nan,-0.010635,0.002857
0.499997,-0.149497,-0.019280,0.002874
0.504997,nan,-0.018810,0.002897
0.509997,0.180187,-0.001995,0.002926
0.514997,nan,-0.002145,0.002958
0.519997,-0.004543,-0.002270,0.002992
0.524997,nan,0.000115,0.003027
0.529997,-0.005871,-0.002210,0.003060
0.534997,nan,-0.001938,0.003087
0.539997,0.064589,0.003851,0.003108
0.544997,nan,0.002205,0.003123
0.549996,0.143367,0.015568,0.003137
0.554996,nan,0.018938,0.003153
0.559996,-0.093379,0.009395,0.003165
0.564996,nan,0.008056,0.003167
0.569996,0.164331,0.019009,0.003161
0.574996,nan,0.020213,0.003146
0.579996,0.003792,0.017408,0.003129
0.584996,nan,0.018893,0.003112
0.589996,0.023212,0.018896,0.003097
