time, Quad.Est.E.Yaw
0.005000,0.001569
0.010000,0.035456
0.015000,0.038719
0.020000,0.000832
0.025000,0.003778
0.030000,0.002363
0.035000,0.001141
0.040000,0.003307
0.045000,0.003948
0.050000,0.006629
0.055000,0.005358
0.060000,-0.012368
0.065000,-0.012642
0.070000,-0.007231
0.075000,-0.007631
0.080000,0.009469
0.085000,0.012074
0.090000,0.028349
0.095000,0.030472
0.100000,0.035915
0.105000,0.034098
0.110000,0.025357
0.115000,0.023868
0.120000,0.017803
0.125000,0.017078
0.130000,0.021357
0.135000,0.022573
0.140000,0.027937
0.145000,0.026723
0.150000,0.028102
0.155000,0.029829
0.160000,0.016535
0.165000,0.015905
0.170000,0.020900
0.175000,0.018368
0.180000,0.028251
0.185000,0.027946
0.190000,0.026689
0.195000,0.023022
0.200000,0.013992
0.205000,0.014840
0.210000,0.004612
0.215000,0.006536
0.220000,-0.000520
0.225000,0.000334
0.230000,0.006023
0.235000,0.006343
0.240000,-0.004238
0.245000,-0.001229
0.250000,0.001807
0.255000,0.001171
0.260000,0.015391
0.265000,0.018849
0.270000,0.016963
0.275000,0.015727
0.280000,0.006555
0.285000,0.003562
0.290000,-0.000296
0.295000,-0.002401
0.300000,-0.007054
0.305000,-0.007166
0.310000,-0.016527
0.314999,-0.016325
0.319999,-0.003124
0.324999,-0.001871
0.329999,0.005201
0.334999,0.005890
0.339999,0.009181
0.344999,0.010100
0.349999,0.010163
0.354999,0.011874
0.359999,0.006862
0.364999,0.006951
0.369999,0.002628
0.374999,0.001080
0.379999,0.016036
0.384999,0.020099
0.389999,0.020068
0.394998,0.019588
0.399998,0.023633
0.404998,0.024521
0.409998,0.020336
0.414998,0.021541
0.419998,0.018991
0.424998,0.020302
0.429998,-0.004881
0.434998,-0.001611
0.439998,-0.000398
0.444998,0.000868
0.449998,-0.010723
0.454998,-0.014516
0.459998,-0.012905
0.464998,-0.012405
0.469997,0.004609
0.474997,0.003456
0.479997,-0.021669
0.484997,-0.022730
0.489997,-0.013692
0.494997,-0.013490
0.499997,-0.022147
0.504997,-0.021702
0.509997,-0.004909
0.514997,-0.005096
0.519997,-0.005247
0.524997,-0.002905
0.529997,-0.005257
0.534997,-0.005020
0.539997,0.000750
0.544997,-0.000915
0.549996,0.012437
0.554996,0.015788
0.559996,0.006234
0.564996,0.004889
0.569996,0.015845
0.574996,0.017063
0.579996,0.014272
0.584996,0.015777
0.589996,0.015793
0.594996,0.015203
0.599996,0.021193
0.604996,0.023085
0.609996,0.022275
0.614996,0.024242
0.619996,0.009773
0.624996,0.010915
0.629995,-0.001835
0.634995,-0.000304
0.639995,0.004571
0.644995,0.004460
0.649995,0.002342
0.654995,0.002425
0.659995,0.003157
0.664995,0.003233
0.669995,0.007667
0.674995,0.006472
0.679995,-0.002285
0.684995,-0.004301
0.689995,0.002345
0.694995,0.001178
0.699995,0.022972
0.704994,0.020733
0.709994,0.023533
0.714994,0.021767
0.719994,0.008990
0.724994,0.009753
0.729994,0.004481
0.734994,-0.000329
0.739994,0.006604
0.744994,0.005750
0.749994,0.003846
0.754994,0.005942
0.759994,0.006112
0.764994,0.006593
0.769994,0.008658
0.774994,0.009205
0.779994,0.007792
0.784993,0.007207
0.789993,0.003953
0.794993,0.005659
0.799993,-0.002567
0.804993,-0.002723
0.809993,-0.003816
0.814993,-0.006300
0.819993,-0.017699
0.824993,-0.018983
0.829993,-0.028663
0.834993,-0.028315
0.839993,-0.029230
0.844993,-0.031632
0.849993,-0.033789
0.854993,-0.035124
0.859993,-0.030614
0.864992,-0.031225
0.869992,-0.034292
0.874992,-0.034122
0.879992,-0.037302
0.884992,-0.039797
0.889992,-0.045030
0.894992,-0.045062
0.899992,-0.047687
0.904992,-0.043857
0.909992,-0.040454
0.914992,-0.039700
0.919992,-0.026797
0.924992,-0.027029
0.929992,-0.008919
0.934992,-0.011288
0.939991,-0.016569
0.944991,-0.017257
0.949991,-0.012016
0.954991,-0.012223
0.959991,-0.007858
0.964991,-0.002642
0.969991,-0.004545
0.974991,-0.003165
0.979991,0.000008
0.984991,-0.000649
0.989991,0.000379
0.994991,-0.001661
0.999991,-0.004226
1.004991,-0.003010
1.009991,-0.005821
1.014991,-0.007110
1.019992,0.000545
1.024992,-0.000121
1.029992,-0.005811
1.034992,-0.001572
1.039993,0.006783
1.044993,0.005894
1.049993,0.010779
1.054993,0.010932
1.059994,0.023564
1.064994,0.024106
1.069994,0.021816
1.074994,0.022044
1.079994,0.025347
1.084995,0.026703
1.089995,0.019348
1.094995,0.020751
1.099995,0.025356
1.104996,0.025664
1.109996,0.021014
1.114996,0.022840
1.119996,0.022011
1.124997,0.021684
1.129997,0.025648
1.134997,0.026487
1.139997,0.038342
1.144997,0.038914
1.149998,0.042998
1.154998,0.042448
1.159998,0.039510
1.164998,0.037908
1.169999,0.022944
1.174999,0.022617
1.179999,0.017779
